Year,GMPP_ID,Project_Name,Department,Category,IPA_RAG,SRO_RAG,Risk_Label,Start_Date,End_Date,FY_Baseline_GBPm,FY_Forecast_GBPm,FY_Variance_Pct,WLC_Baseline_GBPm,Benefits_GBPm,Schedule_Narrative,Source_File,Classification_Method,End_Date_Parsed,Start_Date_Parsed,Slippage_Days,Delayed,Label_Method
2016,,Geological Disposal Facility Programme (GDF),BEIS,,Amber,,Medium Risk,30/06/2008,31/12/2040,28.47,28.53,0.0,11751.97,,"Planning schedules are in line with the ambition to identify a site and construct a GDF by the 2040s and are kept under review by the developer, Radioactive Waste Management Ltd.",Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2040-12-31,2008-06-30,3377.0,1.0,Schedule Slippage (>=2 valid annual observations)
2016,,Broadband Delivery Programme,DCMS,,Amber/Green,,Low Risk,06/12/2010,31/12/2020,456.1,437.8,-4.0,2223.9,,"The programme reached 90% superfast coverage in April 2016 and is on track to reach 95% superfast coverage by the end of 2017.  Coverage as at March 2017 reported by ThinkBroadband is 92.6%.

",Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2020-12-31,2010-12-06,1461.0,1.0,Schedule Slippage (>=2 valid annual observations)
2016,,Thames Estuary Asset Management Programme (TEAM2100),DEFRA,,Green,,Low Risk,01/04/2010,31/12/2025,23.4,20.3,-13.0,318.42,,Key milestones have been met and the project is on schedule to deliver by closure date.,Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2025-12-31,2010-04-01,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
2016,,Thames Tideway Tunnel,DEFRA,,Amber/Green,,Low Risk,07/09/2010,31/12/2023,1.5,1.5,0.0,4159.8,,Project is on track to deliver to current timelines.,Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2023-12-31,2010-09-07,275.0,1.0,Schedule Slippage (>=2 valid annual observations)
2016,,Priority School Building Programme (PSBP),DFE,,Amber,,Medium Risk,19/07/2011,31/12/2075,745.07,724.07,-3.0,4403.01,,"Although there have been variations to the schedule of individual schemes within PSBP, the overall programme remains on track.
PSBP1 will deliver the majority of its schemes by Dec-17 as anticipated and PSBP2 although in the early stages does not at this point indicate any overall delays in delivery.",Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2075-12-31,2011-07-19,,,"Unresolved (single observation, Amber/Unknown RAG)"
2016,,Priority School Building Programme - Private Finance,DFE,,Amber/Green,,Low Risk,19/07/2011,01/07/2043,329.9,326.86,-1.0,2153.04,,No deviation from planned schedule,Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2043-07-01,2011-07-19,9466.0,1.0,Schedule Slippage (>=2 valid annual observations)
2016,,St Helena Airport,DFID,,Amber/Red,,High Risk,15/03/2005,31/08/2026,7.2,11.5,60.0,445.45,,"The construction of the airport was completed on schedule with the airport receiving certification during May 2016.  However, there has been a delay in starting commercial air services and aspects of the associated infrastructure are not complete",Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2026-08-31,2005-03-15,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
2016,,A14 Cambridge to Huntingdon Improvement Scheme,DFT,,Amber,,Medium Risk,01/09/2012,30/09/2021,106.3,131.9,24.0,1492.3,,The project started construction works in Autumn 2016 as planned and the site compound opened in January 2017.  The scheme is also on track to be open for traffic by December 2020,Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2021-09-30,2012-09-01,567.0,1.0,Schedule Slippage (>=2 valid annual observations)
2016,,A303 Amesbury to Berwick Down,DFT,,Red,,High Risk,1/012/2014,01/06/2024,8.6,11.3,31.0,385.11,,"Project is on track with the option selection process prior to a statutory pre-application public consultation planned for January 2018 as part of the Development Consent Order Process. The Road Investment Strategy (RIS) has set a challenging target of starting works within the first RIS period, i.e. prior to April 2020. This target can only be achieved if the project is publicly financed.  A revised Private Finance delivery programme is being developed",Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2024-06-01,,3500.0,1.0,Schedule Slippage (>=2 valid annual observations)
2016,,Airport Capacity Programme,DFT,,Amber,,Medium Risk,01/07/2015,31/12/2029,14.0,9.0,-36.0,79.0,,"In October 2016 the Government announced its support for a new Northwest runway at Heathrow as its preferred scheme for delivering additional airport capacity in the South East. 
The end date of the programme has been amended to reflect the Airport Commissions assessment of need for new airport capacity by 2030. This is also in line with the draft Airports NPS published in February 2017 which refers to development anticipated to be required by 2030. If the NPS is designated, Heathrow Airport Limited have stated in their Statement of Principles (published in October 2016) that they expect to start operations in 2026 and this date may be revised as scheme planning progresses",Annual_Report_-_consolidated_data_and_narratives 2016.csv,"Keyword Match (pre-2018, no Category field)",2029-12-31,2015-07-01,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
