Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
"10,000 additional prison places","10,000 Additional Prison Places",MOJ,Official Category,2021,2020-03-02,2027-03-30,2584.0,Amber/Red,25596.47,8.68,2022,2027-03-30,Amber,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
"10,000 additional prison places programme - estate expansions","10,000 Additional Prison Places Programme - Estate Expansions",MOJ,Official Category,2021,2020-03-02,2027-03-30,2584.0,Amber,8003.04,44.87,2022,2025-05-01,Amber,2,-698.0,0.0,Schedule Slippage (>=2 valid annual observations)
10k additional prison places estate expansion category d,10K Additional Prison Places Estate Expansion Category D,MOJ,Official Category,2024,2020-01-24,2029-09-20,3527.0,Red,43.0,152.22,2024,2029-09-20,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
10k additional prison places women's estate expansions,10K additional Prison places Women's Estate Expansions,MOJ,Official Category,2023,2020-05-18,,,Amber,43.0,10.85,2023,,Amber,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
10k additional prison places - new build,10k Additional Prison Places - New Build,MOJ,Official Category,2024,2020-03-02,2032-05-31,4473.0,Amber,43.0,840.85,2024,2032-05-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
10k additional prison places estate expansion houseblocks and refurbishments,10k additional prison places Estate Expansion Houseblocks and Refurbishments,MOJ,Official Category,2024,2019-08-15,2029-08-05,3643.0,Red,43.0,78.1,2024,2029-08-05,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
18m+ building remediation programme,18m+ Building Remediation Programme,DLUHC,Official Category,2023,2019-05-09,2031-03-31,4344.0,Amber,4124.0,634.1,2023,2031-03-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
3k prison places,3K Prison Places,MOJ,Official Category,2021,2020-09-28,2024-05-13,1323.0,Amber/Red,12491.43,21.52,2021,2024-05-13,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
5g testbeds & trials,5G Testbeds & Trials,DCMS,Official Category,2018,2017-02-28,2021-03-31,1492.0,Amber/Red,217.05,79.15,2022,2023-03-31,Unknown,3,730.0,1.0,Schedule Slippage (>=2 valid annual observations)
700 mhz clearance programme,700 MHz Clearance Programme,DCMS,Official Category,2018,2015-01-13,2022-01-01,2545.0,Amber,594.92,164.3,2021,2022-01-01,Green,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
a12 chelmsford to a120 widening,A12 Chelmsford to A120 Widening,DFT,Official Category,2020,2015-04-01,2028-07-31,4870.0,Unknown,43.0,72.1,2023,2028-07-31,Unknown,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
a14 cambridge to huntingdon improvement scheme,A14 Cambridge to Huntingdon Improvement Scheme,DFT,"Keyword Match (pre-2018, no Category field)",2013,2012-09-01,2020-03-12,2749.0,Unknown,1519.318,,2018,2021-09-30,Amber/Green,6,567.0,1.0,Schedule Slippage (>=2 valid annual observations)
a303 amesbury to berwick down,A303 Amesbury to Berwick Down,DFT,"Keyword Match (pre-2018, no Category field)",2016,,2024-06-01,,Red,385.11,8.6,2022,2033-12-31,Amber,4,3500.0,1.0,Schedule Slippage (>=2 valid annual observations)
a303 stonehenge amesbury to berwick down,A303 Stonehenge Amesbury to Berwick Down,DFT,"Keyword Match (pre-2018, no Category field)",2017,2014-12-01,2026-06-01,4200.0,Amber,1901.9,15.6,2017,2026-06-01,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
a417 air balloon,A417 Air Balloon,DFT,Official Category,2020,2015-04-01,2027-08-31,4535.0,Unknown,535.0,80.6,2024,2027-08-31,Unknown,5,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
a428 black cat to caxton gibbet,A428 Black Cat to Caxton Gibbet,DFT,Official Category,2018,2015-04-01,2025-04-01,3653.0,Amber/Green,809.8,14.3,2022,2027-09-09,Unknown,3,891.0,1.0,Schedule Slippage (>=2 valid annual observations)
a66,A66,DFT,Official Category,2024,2017-07-05,,,Unknown,43.0,85.5,2024,,Unknown,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
a66 northern trans-pennine,A66 Northern Trans-Pennine,DFT,Official Category,2020,2017-07-05,2030-03-31,4652.0,Unknown,43.0,112.47,2023,2030-03-31,Unknown,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
automotive transformation fund (atf),AUTOMOTIVE TRANSFORMATION FUND (ATF),DBT,Official Category,2024,2020-07-31,,,Unknown,671.0,260.0,2024,,Unknown,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
accelerated houseblocks,Accelerated Houseblocks,MOJ,Official Category,2022,2020-09-28,2024-05-13,1323.0,Amber,12208.0,52.2,2024,2028-07-10,Amber,2,1519.0,1.0,Schedule Slippage (>=2 valid annual observations)
