Feature,Importance
num__Planned_Duration_Days,0.3197015753574835
num__Log_WLC,0.16875484503314706
cat__Baseline_IPA_RAG_Amber/Red,0.08892835543628454
cat__Department_Grouped_DCMS,0.0814740273873647
cat__Baseline_IPA_RAG_Amber,0.04527119872753721
cat__Baseline_IPA_RAG_Amber/Green,0.04103663793937746
cat__Department_Grouped_MOJ,0.03810646205569184
cat__Baseline_IPA_RAG_Unknown,0.03659115492871504
cat__Department_Grouped_DoH,0.03129766616264359
cat__Baseline_IPA_RAG_Red,0.028216578119376477
cat__Department_Grouped_DFT,0.028061899330268335
cat__Department_Grouped_Other,0.02520920304272772
cat__Department_Grouped_DFE,0.025139566763285243
cat__Department_Grouped_DESNZ,0.020227741329982035
cat__Department_Grouped_DEFRA,0.015103306757924527
cat__Department_Grouped_DLUHC,0.006879781628190827
